TaskBoardID,Discord ID,Verified,Moniker,Submission Link,Last Date Updated,filename,size
4566,4andr#6771,Accepted,4andr,"provided to you via https://submit.agoric.app<br /><br />tbTk94LGI3Aj6Qql89Dy4w==  1,720,723,075 2021-08-27T07:52:31.251Z-4andr#6771.slog.gz",2021-08-27 04:52:00,2021-08-27T07:52:31.251Z-4andr#6771.slog.gz,1720723075.0
4360,Adorid | adorid.xyz#1293,Accepted,Adorid,Uploaded,2021-08-26 09:15:00,2021-08-26T13:07:51.018Z-Adorid | adorid.xyz#1293.slog.gz,1646890698.0
4227,Alex Turetskiy#5973,Accepted,TuretskiyV,TuretskiyV-agorictest17-chain:<br />https://drive.google.com/file/d/1mrIP5Qme8F81_Jb-ix0NwFOYWUxMmbpU/view?usp=sharing,2021-08-25 19:30:00,2021-08-26T19:34:10.967Z-Alex Turetskiy#5973.slog.gz,68125044.0
4578,Aliaksandr#3647,Accepted,Coolcat,CoolCat<br /><br />https://drive.google.com/file/d/1_822MYgaxFnhDcN8ukGSuWscUU1w9Slw/view?usp=sharing,2021-08-27 09:52:00,2021-08-27T14:45:02.111Z-Aliaksandr#3647.slog.gz,773584703.0
4499,Anna1242#2262,Accepted,dreamstaker,"I uploaded it on submit.agoric.app, but due to the fact that there is no confirmation of the upload success, also I upload it on google drive too: https://drive.google.com/file/d/1z14C5VxnmP0ApjG3iLMWYQEDMdHQxCJ-/view?usp=sharing",2021-08-26 15:34:00,2021-08-26T19:12:39.249Z-Anna1242#2262.slog.gz,1795795005.0
4604,Audi#4222,Accepted,AUDI,"2021-08-27T18:40:26.381Z-Audi#4222.slog.gz	800,521,512	XGcf0xS2anB5re8MONgs2Q==",2021-08-27 14:47:00,2021-08-27T18:40:26.381Z-Audi#4222.slog.gz,800521512.0
4558,Chococat#1678,Accepted,pupu,my moniker name: pupu,2021-08-27 03:41:00,2021-08-27T07:38:48.952Z-Chococat#1678.slog.gz,88838306.0
4623,Coolex#3021,Accepted,coolex,uploaded via https://submit.agoric.app,2021-08-27 18:48:00,2021-08-26T20:04:27.397Z-Coolex#3021.slog.gz,1817209581.0
4588,Elf#7206,Accepted,elf100,complete,2021-08-27 11:42:00,2021-08-26T18:59:53.261Z-Elf#7206.slog.gz,594789868.0
4324,GOLDel | KalpaTech#0098,Accepted,KalpaTech,2021-08-26T09:51:06.209Z-GOLDel | KalpaTech#0098.slog.gz<br /> ,2021-08-26 06:46:00,2021-08-26T09:51:06.209Z-GOLDel | KalpaTech#0098.slog.gz,1666708836.0
