,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
0,3732,#0485,AlphaBravo,Completed,False,2021-08-17 06:13:00,AlphaBravo,agoric1u66kx826y2x87u7url0jzsaludvk6dxn473mxs
1,3797,0xd18b,0xd18b,Completed,False,2021-08-17 14:54:00,0xd18b,agoric1zdfv0v74pjnupn05htn9lsrtqgd7mepwhhwz8w
2,3780,13610152128#5923,nodestradamus,Completed,False,2021-08-17 12:53:00,nodestradamus,agoric18tmvfjlefz0tz3pumypa99q7sqcpzwqd08c8gy
3,3785,86b#6313,oraclegen,Completed,False,2021-08-17 13:24:00,oraclegen,agoric1k9umcy8tkjq7yhavyude477h2uadvtjuxn30mg
4,3680,Adorid | adorid.xyz#1293,Adorid,Completed,False,2021-08-16 12:56:00,Adorid,agoric1pfdehd8tkx49wx6lf4t2en4ts4srkmf6fw30kz
5,3709,Alex Turetskiy#5973,TuretskiyV,Completed,False,2021-08-16 17:48:00,TuretskiyV,agoric1j4e37zw7jqq2mw03e8q62utw7z5zwqp3gn4pwv
6,3701,Alex [Masternode24]#0722,Masternode24,Completed,False,2021-08-16 17:01:00,Masternode24,agoric1njczp9mfh0x03m6y3k8ezrdnwcxe0agpjqvr37
7,3789,Aliaksandr#3647,CoolCat,Obsolete,False,2021-08-17 13:42:00,CoolCat,agoric123a4neh8sanp2ujfsmwf2mudwq9hg7jdu2e3lt
8,3791,Aliaksandr#3647,CoolCat,Completed,False,2021-08-17 13:50:00,CoolCat,agoric123a4neh8sanp2ujfsmwf2mudwq9hg7jdu2e3lt
9,3688,AndreyRudi#2065,rudolfhe-55,Completed,False,2021-08-16 14:05:00,rudolfhe-55,agoric1t2pe8p6p95r04pt45njv9hh7uranwyq5ccll57
10,3740,Anna1242#2262,dreamstaker,Completed,False,2021-08-17 07:14:00,dreamstaker,agoric1sphk8sz7uy0gtq5jfjfvsh799pqqugnjs25rtk
11,3809,Audi#4222,AUDI,Completed,False,2021-08-18 10:38:00,AUDI,agoric1v9ckqq3f53hju7vmkgsjfrxarzlr0xfupkdmdt
12,3842,CRT.Vinnylee (Will Not DM You)#6565,crt,Completed,False,2021-08-19 09:13:00,crt,agoric1ddmpfq6vdmtl78wnhq00xcyhtx6sstm6egg420
13,3723,Calin | Stakeborg#1298,Stakeborg,Completed,False,2021-08-17 02:55:00,Stakeborg,agoric1s4tqjr9ln6kcqaq9ljt26xr504z8lfkglaelqy
14,3718,Chococat#1678,pupu,Completed,False,2021-08-17 00:00:00,pupu,agoric1g2d7j7ejwcrnrd87pcm8etfp8hn4ly2zgrccj3
15,3773,ColinkaMalinka#1565,ColinkaMalinka,Completed,False,2021-08-17 12:17:00,ColinkaMalinka,agoric1kn328ztnhveulpk0hf8t0z5dhuj8ytek887p67
16,3741,Coolex#3021,coolex,Completed,False,2021-08-17 07:44:00,coolex,agoric1l9vq02hlyhknwh07jlrlvtxdp87c5xthlrxw3r
17,3687,CreATivE8536#5039,isavazh,Completed,False,2021-08-16 13:59:00,isavazh,agoric1xajnrrahxn8hv683a9reddv0jsa9m0myznv8ar
18,3677,Danil Ushakov#5735,ushakov,Completed,False,2021-08-16 12:47:00,ushakov,agoric1krzfxec9fz6d94yju3lzj8328navkl6ermg8mu
19,3768,David Rakusan | Rockaway#1226,Rockaway Blockchain Fund,Completed,False,2021-08-17 12:02:00,Rockaway Blockchain Fund,agoric18243j0ejzsmm6v33agr66wz3jrtv4av67x8khv
